表示順位,管理番号,検索キー,所属,府県,1次細分,旧2次細分,市町村,区分,標高,情報発表名,観測所名,読み,注意報期間,注意報基準,警報期間,警報基準,短時間期間,短時間基準,記録雪期間,記録雪基準,積雪厳重,積雪特警,JMA番号,気温JMA番号,緯度,経度
必須：とりあえず表示順に連番としておくと行の順序を変えて編集した後にすぐ戻せて便利,任意：使ってない,必須：ダウンロード・デコード・URL生成の際に観測所を特定するために使用する文字列。複数の値が必要な場合はコロン区切りなどで,必須：気象庁=1、河川=2、道路=3、自治体=10（obsmasterルールに従う）。青森原子力は100を割り当て,必須：都道府県抜きの府県名,任意：使ってない,任意：使ってない,必須：ページに表示される市町村名,必須：「平」「山」始まりの文字列の場合は情報掲載対象として扱い、濃く着色する。それ以外で「m未満」「平」「m以上」「山」を含むときは薄く着色する,任意：ページに表示される標高,必須：表示される観測所名もしくは情報発表名。この列の値を基にシート間の行整合を行うため重複は許されない,任意：ページ上で観測所名を情報発表名に併記する必要がある場合に記載,必須：情報発表名ソートに必要,任意：「A時間でBcm」のAの値。報知・表示して欲しい場合のみ記載,任意：「A時間でBcm」のBの値。報知・表示して欲しい場合のみ記載,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：厳重警戒の閾値となる積雪深,任意：特別警報の閾値となる50年に一度の積雪深,必須：積雪観測所がobsmasterに記載されている場合、所属番号+府県番号+観測所番号の文法で記述。BUFR等で値を取得する際に地点特定材料となる。記載されていない場合は空欄,必須：気温観測所について同左,必須：観測所の緯度,必須：観測所の経度
1,30062,片貝,3,新潟,下越,岩船地域,関川村,200m未満,60,片貝(道),,ｶﾀｶｲ,,,,,,,,,,,354009,,38.067662,139.600356
2,30063,金丸,3,新潟,下越,岩船地域,関川村,200m未満,100,金丸(道),,ｶﾅﾏﾙ,,,,,,,,,,,354010,,38.06134,139.670529
3,30061,関川,3,新潟,下越,岩船地域,関川村,200m未満,40,関川(道),,ｾｷｶﾜ,,,,,,,,,,,354005,,38.079088,139.580028
4,1,54191,1,新潟,下越,岩船地域,関川村,山沿い,30,関川村下関,下関,ｾｷｶﾜﾑﾗｼﾓｾﾞｷ(ｼﾓｾﾞｷ),,,12,55,12,65,6,45,130,203,154905,154191,38.0925,139.563889
5,54004,6,10,新潟,下越,岩船地域,村上市,200m未満,150,大栗田(県),,ｵｵｸﾘﾀ,,,,,,,,,,,1054005,,38.180684,139.601894
6,30064,春木山,3,新潟,下越,岩船地域,村上市,200m未満,20,春木山(道),,ﾊﾙｷﾔﾏ,,,,,,,,,,,,,38.107631,139.465164
7,54002,4,10,新潟,下越,岩船地域,村上市,200m未満,40,桃川(県),,ﾓﾓｶﾜ,,,,,,,,,,,,,38.161913,139.507669
8,54000,1,10,新潟,下越,岩船地域,村上市,200m未満,10,村上(県),,ﾑﾗｶﾐ,,,,,,,,,,,,,38.219479,139.468447
9,30163,村上,3,新潟,下越,岩船地域,村上市,200m未満,10,村上(道),,ﾑﾗｶﾐ,,,,,,,,,,,354017,,38.224622,139.492593
10,30168,仲間,3,新潟,下越,岩船地域,村上市,200m未満,30,仲間(道),,ﾁｭｳｹﾞﾝ,,,,,,,,,,,,,38.217465,139.498342
11,54003,5,10,新潟,下越,岩船地域,村上市,200m未満,60,北大平(県),,ｷﾀｵｵﾀﾞｲﾗ,,,,,,,,,,,,,38.322227,139.586417
12,30167,大須戸,3,新潟,下越,岩船地域,村上市,200m未満,110,大須戸(道),,ｵｵｽﾄﾞ,,,,,,,,,,,,,38.360411,139.551945
13,30164,蒲萄,3,新潟,下越,岩船地域,村上市,200m未満,180,蒲萄(道),,ﾌﾞﾄﾞｳ,,,,,,,,,,,354001,,38.384713,139.554386
14,30165,大沢,3,新潟,下越,岩船地域,村上市,200m未満,130,大沢(道),,ｵｵｻﾜ,,,,,,,,,,,354002,,38.421829,139.567507
15,30166,下大鳥,3,新潟,下越,岩船地域,村上市,200m未満,40,下大鳥(道),,ｼﾓｵｵﾄﾘ,,,,,,,,,,,354003,,38.470195,139.554605
16,54001,2,10,新潟,下越,岩船地域,村上市,200m以上,210,山北(県),,ｻﾝﾎﾟｸ,,,,,,,,,,,1054002,,38.498566,139.673197
17,30003,加治,3,新潟,下越,新発田地域,新発田市,200m未満,10,加治(道),,ｶｼﾞ,,,,,,,,,,,,,38.001937,139.371943
18,30002,新発田,3,新潟,下越,新発田地域,新発田市,200m未満,10,新発田(道),,ｼﾊﾞﾀ,,,,,,,,,,,354016,,37.959302,139.35186
19,54005,12,10,新潟,下越,新発田地域,新発田市,200m未満,10,新発田(県),,ｼﾊﾞﾀ,,,,,,,,,,,,,37.938117,139.338828
20,54007,18,10,新潟,下越,新発田地域,胎内市,200m未満,100,坂井(県),,ｻｶｲ,,,,,,,,,,,,,38.034144,139.469801
21,30060,赤岩,3,新潟,下越,五泉地域,阿賀町,200m未満,70,赤岩(道),,ｱｶｲﾜ,,,,,,,,,,,,,37.683015,139.420681
22,54009,35,10,新潟,下越,五泉地域,阿賀町,200m未満,150,網木(県),,ﾂﾅｷﾞ,,,,,,,,,,,,,37.788848,139.414462
23,30056,栄山,3,新潟,下越,五泉地域,阿賀町,200m以上,230,栄山(道),,ｻｶｴﾔﾏ,,,,,,,,,,,354020,,37.66366,139.530859
24,30057,津川,3,新潟,下越,五泉地域,阿賀町,200m未満,100,津川(道),,ﾂｶﾞﾜ,,,,,,,,,,,354021,,37.656515,139.49125
25,30055,福取,3,新潟,下越,五泉地域,阿賀町,200m以上,320,福取(道),,ﾌｸﾄﾘ,,,,,,,,,,,354004,,37.657943,139.558187
